NAME,GP,MIN,PTS,REB,AST,STL,BLK,TO,Color
De'Aaron Fox PG,7,38.6,27.4,5.4,7.7,2.1,0.6,4,#5A2D81
Malik Monk SG,7,29.3,19,5.4,3.6,0.7,0.4,2,#5A2D81
Domantas Sabonis PF,7,34.7,16.4,11,4.7,1.4,0.9,3.7,#5A2D81
Harrison Barnes SF,7,28.1,10.7,3.4,0.7,1.1,0.3,0.4,#5A2D81
Keegan Murray SF,7,27.7,9.7,6.3,0.7,0.6,0.3,0.6,#5A2D81
Kevin Huerter SG,7,26.1,9.1,4.4,1.1,0.4,1.3,0.6,#5A2D81
Davion Mitchell PG,7,20,7.1,1.3,1.7,0.9,0.1,0.9,#5A2D81
Trey Lyles PF,7,16.9,6.6,5.7,0.7,0.3,0,0.4,#5A2D81
Terence Davis SG,4,14.5,6,2.3,1.5,0.3,0,0.5,#5A2D81
Alex Len C,7,7.7,2.7,2.9,0.1,0,0.4,1,#5A2D81
PJ Dozier G,3,2,2.7,0.7,0,0,0,0,#5A2D81
Chimezie Metu PF,3,2,0.7,0.3,0,0,0,0.3,#5A2D81
Kessler Edwards SF *,6,1.2,0,0.2,0,0,0,0,#5A2D81
