Abbreviation,Name,PPG,PPG_Post,Color
SAC,Sacramento Kings,120.7,113.7,#5A2D81
GSW,Golden State Warriors,118.9,113.1,#1D428A
ATL,Atlanta Hawks,118.4,115.8,#E03A3E
BOS,Boston Celtics,117.9,112,#007A33
OKC,Oklahoma City Thunder,117.5,90,#007AC1
LAL,Los Angeles Lakers,117.2,112.3,#552583
UTA,Utah Jazz,117.1,90,#002B5C
MEM,Memphis Grizzlies,116.9,104.7,#5D76A9
MIL,Milwaukee Bucks,116.9,118.8,#00471B
IND,Indiana Pacers,116.3,90,#002D62
NYK,New York Knicks,116,100.1,#006BB6
DEN,Denver Nuggets,115.8,113.5,#0E2240
MIN,Minnesota Timberwolves,115.8,105.4,#0C2340
PHI,Philadelphia 76ers,115.2,102.5,#006BB6
NOP,New Orleans Pelicans,114.4,90,#0C2340
DAL,Dallas Mavericks,114.2,90,#00538C
LAC,Los Angeles Clippers,113.6,115.6,#C8102E
PHX,Phoenix Suns,113.6,114.2,#1D1160
BKN,Brooklyn Nets,113.4,92.5,#000000
POR,Portland Trail Blazers,113.4,90,#E03A3E
WAS,Washington Wizards,113.2,90,#002B5C
CHI,Chicago Bulls,113.1,90,#CE1141
SAS,San Antonio Spurs,113,90,#C4CED4
TOR,Toronto Raptors,112.9,90,#CE1141
CLE,Cleveland Cavaliers,112.3,94.2,#860038
ORL,Orlando Magic,111.4,90,#0077C0
CHA,Charlotte Hornets,111,90,#1D1160
HOU,Houston Rockets,110.7,90,#CE1141
DET,Detroit Pistons,110.3,90,#C8102E
MIA,Miami Heat,109.5,108.3,#98002E
